kernel,plan_id,isa,reduction,unroll,tail,control,size,distribution,correct,median_ns,speedup_vs_orig
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,256,all_equal,1,1.8,0.136
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,4096,all_equal,1,26.7,0.128
k18_all_equal,18,AVX2,LaneAccumulation,U4,Scalar,EarlyExit,65536,all_equal,1,511.7,0.154
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,64,random,1,1.5,0.574
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,256,random,1,1.5,0.110
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,4096,random,1,1.5,0.007
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,65536,random,1,1.5,0.000
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,64,all_equal,1,1.6,0.607
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,256,all_equal,1,1.6,0.122
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,4096,all_equal,1,26.0,0.125
k18_all_equal,19,AVX2,LaneAccumulation,U4,NarrowerVector,FullReduction,65536,all_equal,1,507.8,0.153
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,64,random,1,1.5,0.575
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,256,random,1,1.5,0.110
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,4096,random,1,1.5,0.007
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,65536,random,1,1.5,0.000
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,64,all_equal,1,1.6,0.611
k18_all_equal,20,AVX2,LaneAccumulation,U4,NarrowerVector,EarlyExit,256,all_equal,1,1.8,0.134
