kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,mismatch_first,64,sse2,1,2.5,2.5,0.0,2.5,2.6,0.12,0.558
k18_all_equal,mismatch_first,64,avx2,1,1.6,1.6,0.0,1.6,1.7,0.08,0.351
k18_all_equal,mismatch_first,64,multi,1,1.4,1.4,0.0,1.4,1.5,0.07,0.310
k18_all_equal,mismatch_first,65,orig,1,4.4,4.4,0.0,4.4,4.7,0.22,1.000
k18_all_equal,mismatch_first,65,scalar,1,17.4,17.3,0.1,17.3,17.6,0.86,3.952
k18_all_equal,mismatch_first,65,chunked,1,5.2,5.0,0.0,5.0,5.3,0.25,1.169
k18_all_equal,mismatch_first,65,sse2,1,2.5,2.4,0.0,2.4,2.6,0.12,0.561
k18_all_equal,mismatch_first,65,avx2,1,1.6,1.6,0.0,1.6,1.7,0.08,0.353
k18_all_equal,mismatch_first,65,multi,1,1.5,1.5,0.0,1.5,1.7,0.07,0.337
k18_all_equal,mismatch_first,256,orig,1,17.0,16.9,0.1,16.9,17.1,0.21,1.000
k18_all_equal,mismatch_first,256,scalar,1,42.8,42.6,0.1,42.6,43.5,0.53,2.519
k18_all_equal,mismatch_first,256,chunked,1,9.6,9.5,0.1,9.5,9.9,0.12,0.564
k18_all_equal,mismatch_first,256,sse2,1,4.5,4.5,0.0,4.5,4.7,0.06,0.263
k18_all_equal,mismatch_first,256,avx2,1,3.2,3.2,0.0,3.2,3.3,0.04,0.188
k18_all_equal,mismatch_first,256,multi,1,3.1,3.0,0.0,3.0,3.2,0.04,0.180
k18_all_equal,mismatch_first,4096,orig,1,269.3,269.1,0.2,269.1,270.4,0.21,1.000
k18_all_equal,mismatch_first,4096,scalar,1,540.6,539.0,0.8,539.0,542.0,0.42,2.007
k18_all_equal,mismatch_first,4096,chunked,1,109.7,109.4,0.1,109.4,110.8,0.09,0.407
k18_all_equal,mismatch_first,4096,sse2,1,58.8,58.7,0.1,58.7,59.0,0.05,0.218
k18_all_equal,mismatch_first,4096,avx2,1,33.2,33.1,0.1,33.1,33.7,0.03,0.123
k18_all_equal,mismatch_first,4096,multi,1,33.3,33.2,0.0,33.2,33.9,0.03,0.124
k18_all_equal,mismatch_first,65536,orig,1,4299.1,4286.7,8.0,4286.7,4329.8,0.21,1.000
k18_all_equal,mismatch_first,65536,scalar,1,8283.4,8252.2,17.2,8252.2,8325.4,0.40,1.927
k18_all_equal,mismatch_first,65536,chunked,1,1570.7,1566.1,1.3,1566.1,1601.3,0.08,0.365
k18_all_equal,mismatch_first,65536,sse2,1,856.5,855.2,0.7,855.2,860.5,0.04,0.199
k18_all_equal,mismatch_first,65536,avx2,1,579.6,578.6,0.6,578.6,582.2,0.03,0.135
k18_all_equal,mismatch_first,65536,multi,1,578.9,578.0,0.3,578.0,608.6,0.03,0.135
k18_all_equal,mismatch_last,16,orig,1,2.2,2.2,0.0,2.2,2.9,0.45,1.000
k18_all_equal,mismatch_last,16,scalar,1,4.4,4.4,0.0,4.4,4.6,0.89,1.979
k18_all_equal,mismatch_last,16,chunked,1,3.4,3.4,0.0,3.4,3.5,0.68,1.511
k18_all_equal,mismatch_last,16,sse2,1,1.3,1.3,0.0,1.3,1.4,0.27,0.594
k18_all_equal,mismatch_last,16,avx2,1,1.4,1.4,0.0,1.4,1.6,0.27,0.605
k18_all_equal,mismatch_last,16,multi,1,4.7,4.6,0.0,4.6,4.7,0.93,2.073
k18_all_equal,mismatch_last,17,orig,1,2.2,2.2,0.0,2.2,2.3,0.41,1.000
k18_all_equal,mismatch_last,17,scalar,1,4.6,4.6,0.0,4.6,4.7,0.87,2.138
k18_all_equal,mismatch_last,17,chunked,1,3.5,3.4,0.1,3.4,4.1,0.66,1.629
k18_all_equal,mismatch_last,17,sse2,1,1.6,1.5,0.0,1.5,1.7,0.30,0.747
k18_all_equal,mismatch_last,17,avx2,1,1.4,1.4,0.0,1.4,1.5,0.26,0.629
k18_all_equal,mismatch_last,17,multi,1,4.8,4.8,0.0,4.8,4.9,0.91,2.235
k18_all_equal,mismatch_last,31,orig,1,4.4,4.4,0.0,4.4,4.6,0.45,1.000
k18_all_equal,mismatch_last,31,scalar,1,7.4,7.3,0.1,7.3,7.5,0.76,1.684
k18_all_equal,mismatch_last,31,chunked,1,4.0,4.0,0.0,4.0,4.2,0.42,0.921
k18_all_equal,mismatch_last,31,sse2,1,2.6,2.6,0.0,2.6,2.8,0.27,0.601
k18_all_equal,mismatch_last,31,avx2,1,2.8,2.8,0.1,2.8,3.1,0.29,0.646
k18_all_equal,mismatch_last,31,multi,1,7.6,7.5,0.1,7.5,7.7,0.78,1.728
k18_all_equal,mismatch_last,32,orig,1,2.3,2.3,0.0,2.3,2.5,0.23,1.000
