kernel,distribution,size_bytes,candidate,correct,median_ns,min_ns,mad_ns,ci_lo_ns,ci_hi_ns,cycles_per_elem,speedup_vs_orig
k18_all_equal,mismatch_mid,65536,sse2,1,397.4,396.6,0.5,396.6,400.6,0.02,0.119
k18_all_equal,mismatch_mid,65536,avx2,1,210.4,209.5,0.7,209.5,211.7,0.01,0.063
k18_all_equal,mismatch_mid,65536,multi,1,210.7,209.4,0.4,209.4,226.4,0.01,0.063
k18_all_equal,random,16,orig,1,1.5,1.5,0.0,1.5,1.7,0.30,1.000
k18_all_equal,random,16,scalar,1,4.1,4.1,0.0,4.1,4.4,0.82,2.754
k18_all_equal,random,16,chunked,1,3.6,3.4,0.0,3.4,3.7,0.71,2.398
k18_all_equal,random,16,sse2,1,1.3,1.3,0.0,1.3,1.5,0.27,0.905
k18_all_equal,random,16,avx2,1,1.4,1.4,0.0,1.4,1.4,0.27,0.914
k18_all_equal,random,16,multi,1,4.1,4.1,0.0,4.1,4.1,0.82,2.750
k18_all_equal,random,256,orig,1,13.2,13.1,0.0,13.1,13.6,0.16,1.000
k18_all_equal,random,256,scalar,1,52.6,52.3,0.1,52.3,53.0,0.66,3.996
k18_all_equal,random,256,chunked,1,9.3,9.0,0.1,9.0,9.9,0.12,0.704
k18_all_equal,random,256,sse2,1,4.3,4.2,0.0,4.2,4.6,0.05,0.326
k18_all_equal,random,256,avx2,1,3.1,3.1,0.0,3.1,3.2,0.04,0.234
k18_all_equal,random,256,multi,1,3.3,3.2,0.0,3.2,3.4,0.04,0.249
k18_all_equal,random,4096,orig,1,209.6,209.0,0.3,209.0,212.0,0.16,1.000
k18_all_equal,random,4096,scalar,1,1.5,1.4,0.0,1.4,1.6,0.00,0.007
k18_all_equal,random,4096,chunked,1,1.4,1.3,0.0,1.3,1.4,0.00,0.007
k18_all_equal,random,4096,sse2,1,1.3,1.3,0.0,1.3,1.4,0.00,0.006
k18_all_equal,random,4096,avx2,1,1.3,1.0,0.1,1.0,1.4,0.00,0.006
k18_all_equal,random,4096,multi,1,1.3,1.3,0.0,1.3,1.4,0.00,0.006
k18_all_equal,random,65536,orig,1,3357.5,3333.3,10.0,3333.3,3408.3,0.16,1.000
k18_all_equal,random,65536,scalar,1,1.5,1.4,0.0,1.4,1.6,0.00,0.000
k18_all_equal,random,65536,chunked,1,1.4,1.3,0.0,1.3,1.7,0.00,0.000
k18_all_equal,random,65536,sse2,1,1.3,1.3,0.0,1.3,1.4,0.00,0.000
k18_all_equal,random,65536,avx2,1,1.3,1.2,0.0,1.2,1.4,0.00,0.000
